sentence,word,string,num_tokens_total,num_tokens_target,num_tokens_disambiguating,mpath,language,multilingual,n_params
It was a desperate act.,act,act,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a humane act.,act,act,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a magic act.,act,act,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He had a universal appeal.,appeal,appeal,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He had an undefinable appeal.,appeal,appeal,8,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He had a legal appeal.,appeal,appeal,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a tense atmosphere.,atmosphere,atmosphere,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a hostile atmosphere.,atmosphere,atmosphere,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a gaseous atmosphere.,atmosphere,atmosphere,8,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He bailed out the prisoner.,bail,bailed,7,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He bailed out the defendant.,bail,bailed,8,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He bailed out the water.,bail,bailed,7,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a gold band.,band,band,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a rubber band.,band,band,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a jazz band.,band,band,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He banked the plane.,bank,banked,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He banked the helicopter.,bank,banked,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He banked the money.,bank,banked,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
There was a police barrier.,barrier,barrier,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
There was a concrete barrier.,barrier,barrier,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
There was a language barrier.,barrier,barrier,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He saw a furry bat.,bat,bat,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He saw a fruit bat.,bat,bat,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He saw a wooden bat.,bat,bat,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He saw the laser beam.,beam,beam,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He saw the bright beam.,beam,beam,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He saw the wood beam.,beam,beam,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She had a toy block.,block,block,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She had a wooden block.,block,block,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She had a mental block.,block,block,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
