sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,Ablation,n_params,mpath,language,multilingual
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0,0,2.181818182,8,8,Original,58724864,albert/albert-xlarge-v2,english,No
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.07257844022495663,1,2.181818182,8,8,Original,58724864,albert/albert-xlarge-v2,english,No
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.08010529928830357,2,2.181818182,8,8,Original,58724864,albert/albert-xlarge-v2,english,No
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.15000358212723608,3,2.181818182,8,8,Original,58724864,albert/albert-xlarge-v2,english,No
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.13825624195315556,4,2.181818182,8,8,Original,58724864,albert/albert-xlarge-v2,english,No
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.1456996386309144,5,2.181818182,8,8,Original,58724864,albert/albert-xlarge-v2,english,No
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.1584732914826794,6,2.181818182,8,8,Original,58724864,albert/albert-xlarge-v2,english,No
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.17197649568727302,7,2.181818182,8,8,Original,58724864,albert/albert-xlarge-v2,english,No
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.173540474613458,8,2.181818182,8,8,Original,58724864,albert/albert-xlarge-v2,english,No
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.18074385622478617,9,2.181818182,8,8,Original,58724864,albert/albert-xlarge-v2,english,No
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.19646640587802489,10,2.181818182,8,8,Original,58724864,albert/albert-xlarge-v2,english,No
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.207772328949404,11,2.181818182,8,8,Original,58724864,albert/albert-xlarge-v2,english,No
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.228108036220255,12,2.181818182,8,8,Original,58724864,albert/albert-xlarge-v2,english,No
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.2629593290300851,13,2.181818182,8,8,Original,58724864,albert/albert-xlarge-v2,english,No
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.2506010649035645,14,2.181818182,8,8,Original,58724864,albert/albert-xlarge-v2,english,No
