Unnamed: 0,List,Word,Same_sense,Sentence_1,Sentence_2,Sense_id_s1,Sense_id_s2,Gender_s1,Gender_s2,mean_relatedness,sd_relatedness,median_relatedness,count,sentence1,sentence2,same
1,1,aceite,Different Sense,Compró el aceite de oliva,Compró el aceite de motor,1,2,male,male,3.17647058823529,1.66715679067863,4.0,17,Compró el aceite de oliva.,Compró el aceite de motor.,Different Sense
2,1,aceite,Same Sense,Compró el aceite de motor,Compró el aceite de carro,2,2,male,male,4.64705882352941,0.606339062590832,5.0,17,Compró el aceite de motor.,Compró el aceite de carro.,Same Sense
3,1,aceite,Same Sense,Compró el aceite de oliva,Compró el aceite de cocina,1,1,male,male,4.76470588235294,0.437237316097603,5.0,17,Compró el aceite de oliva.,Compró el aceite de cocina.,Same Sense
4,1,ala,Same Sense,Le gustó el ala sureste,Le gustó el ala remodelada,1,1,female,female,4.64705882352941,0.701888209634219,5.0,17,Le gustó el ala sureste.,Le gustó el ala remodelada.,Same Sense
5,1,algodón,Different Sense,Evaluó el algodón sembrado,Evaluó el algodón endulzado,1,2,male,male,2.88235294117647,1.76360259629177,3.0,17,Evaluó el algodón sembrado.,Evaluó el algodón endulzado.,Different Sense
6,1,algodón,Same Sense,Evaluó el algodón cultivado,Evaluó el algodón sembrado,1,1,male,male,4.76470588235294,0.562295714538387,5.0,17,Evaluó el algodón cultivado.,Evaluó el algodón sembrado.,Same Sense
7,1,arte,Same Sense,Se trataba del arte renacentista,Se trataba del arte abstracto,2,2,male,male,4.47058823529412,1.32842232831014,5.0,17,Se trataba del arte renacentista.,Se trataba del arte abstracto.,Same Sense
8,1,banco,Different Sense,Era un banco financiero,Era un banco plástico,1,2,male,male,1.29411764705882,0.587867532097255,1.0,17,Era un banco financiero.,Era un banco plástico.,Different Sense
9,1,caja,Different Sense,Ella vio la caja registradora,Ella vio la caja percusiva,1,3,female,female,2.0,1.11803398874989,2.0,17,Ella vio la caja registradora.,Ella vio la caja percusiva.,Different Sense
10,1,caja,Different Sense,Ella vio la caja registradora,Ella vio la caja sellada,1,2,female,female,2.70588235294118,1.35852428586835,2.0,17,Ella vio la caja registradora.,Ella vio la caja sellada.,Different Sense
